LISTA COMPLETA DE PETICIONES HTTP,,
1. ENDPOINTS DE APLICACIONES,,
Método,Endpoint,Archivo Fuente
POST,/api/applications,apiService.ts
GET,/api/applications,apiService.ts
PATCH,/api/applications/{candidato_id}/status,apiService.ts
GET,/api/applications/table-data,apiService.ts
POST,/api/applications/save-partial,apiService.ts
PUT,/api/applications/{id},apiService.ts
DELETE,/api/applications/{id},apiService.ts
PATCH,/api/applications (bulk update),apiService.ts
DELETE,/api/applications (bulk delete),apiService.ts
2. ENDPOINTS DE AUTENTICACIÓN,,
Método,Endpoint,Archivo Fuente
POST,/api/auth/social-login,apiService.ts
POST,/api/auth/login,apiService.ts (3 referencias)
GET,/api/auth/me,useAuthSession.ts
POST,/api/auth/refresh,tokenManager.ts
POST,/api/auth/set-cookie,secureCookies.ts
POST,/api/auth/remove-cookie,secureCookies.ts
GET,/api/auth/check-session,secureCookies.ts
POST,/auth.php?action=login,LoginPage.tsx
3. ENDPOINTS DE CANDIDATOS,,
Método,Endpoint,Archivo Fuente
POST,/api/candidates/register,apiService.ts
GET,/api/candidates,"apiService.ts, candidate-department-assignment.ts"
POST,/api/candidates,apiService.ts
GET,/api/candidates/{id},apiService.ts
PUT,/api/candidates/{id},apiService.ts
DELETE,/api/candidates/{id},apiService.ts
POST,/api/save-candidate.php,CandidateAuthPage.tsx
POST,/api/candidates/save_v2.php,cvApi.ts
4. ENDPOINTS DE ANÁLISIS DE CV,,
Método,Endpoint,Archivo Fuente
POST,/api/analyze_cv.php,cvApi.ts
POST,/api/cv/parse.php,"CandidateAuthPage.tsx, Register.tsx"
POST,/api/parse-cv,Register.tsx
5. ENDPOINTS DE TRABAJOS,,
Método,Endpoint,Archivo Fuente
GET,jobs.php,"apiService.ts, test-cors.js"
POST,jobs.php,"apiService.ts, test-cors.js"
PUT,/api/jobs.php?id={id},apiService.ts
DELETE,/api/jobs.php?id={id},apiService.ts
GET,/api/jobs?action=translate,"googleTranslation.ts, test-cors.js"
POST,/api/jobs?action=translate,test-cors.js
6. ENDPOINTS DE DASHBOARD,,
Método,Endpoint,Archivo Fuente
GET,/api/hr/dashboard-stats,"apiService.ts, test-cors.js"
GET,/api/recruiter/{recruiter_id}/dashboard-stats,apiService.ts
GET,/api/me,"RecruiterDashboardPage.tsx, test-cors.js"
7. ENDPOINTS DE NOTIFICACIONES,,
Método,Endpoint,Archivo Fuente
POST,/api/notifications,apiService.ts
GET,/api/notifications/templates,apiService.ts
GET,/api/get-notification-preferences.php,"CDDashboard.tsx, test-cors.js"
POST,/api/save-notification-preferences.php,"CDDashboard.tsx, test-cors.js"
GET,/api/candidate-notifications.php,"CDDashboard.tsx, test-cors.js"
8. ENDPOINTS DE CALENDARIO,,
Método,Endpoint,Archivo Fuente
GET,/api/calendar/integrations,apiService.ts
POST,/api/calendar/connect,apiService.ts
POST,/api/calendar/disconnect,apiService.ts
GET,/api/calendar/events,apiService.ts
POST,/api/calendar/schedule-interview,apiService.ts
GET,/api/calendar/available-slots,apiService.ts
9. ENDPOINTS DE ARCHIVOS,,
Método,Endpoint,Archivo Fuente
POST,/api/files/upload-cv,apiService.ts
10. ENDPOINTS DE HABILIDADES Y DATOS AUXILIARES,,
Método,Endpoint,Archivo Fuente
GET,/api/skills.php,apiService.ts
POST,/api/skills.php,apiService.ts
PUT,/api/skills.php?id={id},apiService.ts
DELETE,/api/skills.php?id={id},apiService.ts
GET,/api/skills,apiService.ts
GET,/api/recruiters.php,test-cors.js
GET,/api/recruiters,apiService.ts
GET,/api/departments.php,test-cors.js
GET,/api/departments,apiService.ts
11. ENDPOINTS ESPECÍFICOS DE DATOS,,
Método,Endpoint,Archivo Fuente
GET,/api/candidate_experiences.php,apiService.ts
GET,/api/candidate-experiences.php,"CDDashboard.tsx, test-cors.js"
GET,/api/candidate_skills.php,apiService.ts
GET,/api/candidate-applications.php,apiService.ts
GET,/api/application_notes.php,apiService.ts
GET,/api/social_logins.php,apiService.ts
GET,/api/interviews.php,apiService.ts
GET,/api/job_benefits.php,apiService.ts
GET,/api/job_requirements.php,apiService.ts
GET,/api/job_skills.php,apiService.ts
12. ENDPOINTS DE CONTENIDO Y CULTURA,,
Método,Endpoint,Archivo Fuente
GET,/api/culture.php,apiService.ts
GET,/api/news.php,apiService.ts
13. ENDPOINTS DE CHATBOT E IA,,
Método,Endpoint,Archivo Fuente
POST,/api/chatbot.php,apiService.ts
POST,/chatbot_decision_tree.php,ChatbotDecisionTree.tsx
POST,/chatbot_analytics.php,ChatbotDecisionTree.tsx
14. ENDPOINTS DE MONITOREO Y SISTEMA,,
Método,Endpoint,Archivo Fuente
POST,/api/web-vitals,"webVitalsMonitor.ts, test-cors.js"
POST,/api/csp-violation,"csp.ts, test-cors.js"
POST,/api/sync,"serviceWorker.ts, test-cors.js"
GET,/api/ping,useOnlineStatus.ts
GET,/api/info,"apiService.ts, test-cors.js"
15. ENDPOINTS DE VALIDACIÓN,,
Método,Endpoint,Archivo Fuente
GET,/api/users/check-email,"validation.ts, test-cors.js"
GET,/api/users/check-username,"validation.ts, test-cors.js"
16. ENDPOINTS DE ASIGNACIÓN Y GESTIÓN,,
Método,Endpoint,Archivo Fuente
POST,/api/assign-candidate,"HRDashboard.tsx, test-cors.js"
17. ENDPOINTS HARDCODEADOS Y DE DESARROLLO,,
Método,Endpoint,Archivo Fuente
POST,http://localhost:8000/api/change-password.php,apiService.ts
GET/POST/PUT/DELETE,http://localhost:8000/test_chatbot_crud.php,ChatBotManage.tsx
GET,http://localhost:8000/auth/oauth/start.php,CandidateAuthPage.tsx
18. ENDPOINTS DE CSRF Y SEGURIDAD,,
Método,Endpoint,Archivo Fuente
GET,/api/auth/csrf-token.php,csrfProtection.ts
POST,/api/auth/validate-csrf.php,csrfProtection.ts
19. ENDPOINTS DE SECUREAUTH,,
Método,Endpoint,Archivo Fuente
POST,/auth/verify-session.php,secureAuthManager.ts
POST,/auth/candidate-login.php,secureAuthManager.ts
POST,/auth/staff-login-simple.php,secureAuthManager.ts
POST,/auth/logout.php,secureAuthManager.ts
20. ENDPOINTS DE IDIOMAS,,
Método,Endpoint,Archivo Fuente
POST,/language.php,languageService.ts
GET,/language.php,languageService.ts
GET,/api/language,apiService.ts
