LISTA COMPLETA DE ENDPOINTS HTTP - ACTUALIZADA,,
,,
1. ENDPOINTS DE ADMINISTRACIÓN,,
Método,Endpoint,Controller/Archivo
GET,/api/admin/dashboard,AdminController@dashboard
GET,/api/admin/stats,AdminController@stats
POST,/api/admin/bulk-actions,AdminController@bulkActions
,,
2. ENDPOINTS DE IA Y ANÁLISIS,,
Método,Endpoint,Controller/Archivo
GET,/api/ai/health,AIController@healthCheck
POST,/api/ai/parse-cv-file,AIController@parseCVFromFile
POST,/api/ai/parse-cv,AIController@parseCV
POST,/api/ai/analyze-pdf,AIController@analyzePdfDirect
POST,/api/ai/calculate-matching,AIController@calculateMatching
POST,/api/ai/chatbot,AIController@chatbot
POST,/api/ai/analyze-personality,AIController@analyzePersonality
POST,/api/ai/predict-performance,AIController@predictPerformance
POST,/api/analyze_cv.php,analyze_cv.php (archivo directo)
,,
3. ENDPOINTS DE APLICACIONES,,
Método,Endpoint,Controller/Archivo
GET,/api/applications,ApplicationController@index
POST,/api/applications,ApplicationController@store
GET,/api/applications/{id},ApplicationController@show
PUT,/api/applications/{id},ApplicationController@update
DELETE,/api/applications/{id},ApplicationController@delete
PATCH,/api/applications/{id}/status,ApplicationController@updateStatus
GET,/api/applications/table-data,ApplicationController@tableData
POST,/api/applications/save-partial,ApplicationController@savePartial
PATCH,/api/applications/bulk,ApplicationController@bulkUpdate
DELETE,/api/applications/bulk,ApplicationController@bulkDelete
,,
4. ENDPOINTS DE AUTENTICACIÓN,,
Método,Endpoint,Controller/Archivo
POST,/api/auth/register,AuthController@register
POST,/api/auth/login,auth.php (archivo directo)
GET,/api/auth/me,AuthController@me
POST,/api/auth/logout,AuthController@logout
POST,/api/auth/forgot-password,AuthController@forgotPassword
POST,/api/auth/reset-password,AuthController@resetPassword
POST,/api/auth/change-password,AuthController@changePassword
POST,/api/auth/social-login,AuthController@socialLogin
POST,/api/auth/refresh,AuthController@refresh
POST,/api/auth/set-cookie,AuthController@setCookie
POST,/api/auth/remove-cookie,AuthController@removeCookie
GET,/api/auth/check-session,AuthController@checkSession
GET,/api/auth/verify-session,AuthController@verifySession
POST,/api/auth/verify-session,AuthController@verifySession
POST,/api/auth/candidate-login,AuthController@candidateLogin
POST,/api/auth/staff-login,AuthController@staffLogin
GET,/api/auth/csrf-token.php,csrf-token.php (archivo directo)
POST,/api/auth/validate-csrf.php,validate-csrf.php (archivo directo)
,,
5. ENDPOINTS DE CANDIDATOS,,
Método,Endpoint,Controller/Archivo
GET,/api/candidates,CandidateController@getAll
GET,/api/candidates/{id},CandidateController@getById
POST,/api/candidates,CandidateController@create
PUT,/api/candidates/{id},CandidateController@update
DELETE,/api/candidates/{id},CandidateController@delete
POST,/api/candidates/register,CandidateController@register
GET,/api/candidates/profile/{id},CandidateController@profile
POST,/api/candidates/upload-cv,CandidateController@uploadCV
PATCH,/api/candidates/{id}/status,CandidateController@updateStatus
GET,/api/recruiters/assigned-candidates,CandidateController@assignedCandidates
POST,/api/save-candidate.php,save-candidate.php (archivo directo)
GET,/api/candidate-experiences.php,candidate-experiences.php (archivo directo)
GET,/api/candidate-applications.php,candidate-applications.php (archivo directo)
GET,/api/candidate-notifications.php,candidate-notifications.php (archivo directo)
POST,/api/update-candidate-profile.php,update-candidate-profile.php (archivo directo)
,,
6. ENDPOINTS DE CHATBOT,,
Método,Endpoint,Controller/Archivo
GET,/api/chatbot/data,ChatbotController@getChatbotData
GET,/api/chatbot/node,ChatbotController@getNode
POST,/api/chatbot/node,ChatbotController@processInteraction
POST,/api/chatbot/interaction,ChatbotController@processInteraction
GET,/api/chatbot/analytics,ChatbotController@getAnalytics
POST,/api/chatbot/track,ChatbotController@trackAnalyticsEvent
POST,/api/chatbot/node/create,ChatbotController@createNode
POST,/api/chatbot/option/create,ChatbotController@createOption
PUT,/api/chatbot/node/{id},ChatbotController@updateNode
PUT,/api/chatbot/option/{id},ChatbotController@updateOption
DELETE,/api/chatbot/node/{id},ChatbotController@deleteNode
DELETE,/api/chatbot/option/{id},ChatbotController@deleteOption
POST,/api/chatbot.php,chatbot.php (archivo directo)
POST,/chatbot_decision_tree.php,chatbot_decision_tree.php (archivo directo)
