"Archivo","Ruta","Línea","Contenido","Patrón"
"candidates.php","C:\laragon\www\bubble_of_talents_1.0\backend\_backups\api_backup2","365","if (!empty($cleanSkill) && strlen($cleanSkill) <= 100) {","strlen\s*\(\s*\$\w+\s*\)"
"candidates.php","C:\laragon\www\bubble_of_talents_1.0\backend\_backups\api_backup2","481","if (strlen($skill) > 100) {","strlen\s*\(\s*\$\w+\s*\)"
"candidates.php","C:\laragon\www\bubble_of_talents_1.0\backend\_backups\api_backup2","481","if (strlen($skill) > 100) {","if\s*\(\s*strlen"
"candidates.php","C:\laragon\www\bubble_of_talents_1.0\backend\_backups\api_backup2","527","$skillStmt = $pdo->prepare('INSERT INTO bt_candidate_skills (candidate_id, skill) VALUES (:candidate_id, :skill)');","INSERT\s+INTO\s+\w+\s*\([^)]*id[^)]*\)"
"candidates.php","C:\laragon\www\bubble_of_talents_1.0\backend\_backups\api_backup2","531","if (!empty($cleanSkill) && strlen($cleanSkill) <= 100) {","strlen\s*\(\s*\$\w+\s*\)"
"change-password.php","C:\laragon\www\bubble_of_talents_1.0\backend\_backups\api_backup2","65","if (strlen($newPassword) < 6) {","strlen\s*\(\s*\$\w+\s*\)"
"change-password.php","C:\laragon\www\bubble_of_talents_1.0\backend\_backups\api_backup2","65","if (strlen($newPassword) < 6) {","if\s*\(\s*strlen"
"chatbot_analytics.php","C:\laragon\www\bubble_of_talents_1.0\backend\_backups\api_backup2","40","$stmt = $db->prepare('INSERT INTO bt_chatbot_analytics (conversation_id, event_name, event_data, node_id, option_id, user_ip, user_agent, session_id) VALUES (?, ?, ?, ?, ?, ?, ?, ?)');","INSERT\s+INTO\s+\w+\s*\([^)]*id[^)]*\)"
"chatbot_decision_tree.php","C:\laragon\www\bubble_of_talents_1.0\backend\_backups\api_backup2","63","error_log(""chatbot_decision_tree.php: About to echo JSON. Length: "" . strlen($jsonOutput));","strlen\s*\(\s*\$\w+\s*\)"
"chatbot_nodes.php","C:\laragon\www\bubble_of_talents_1.0\backend\_backups\api_backup2","28","$stmt = $db->prepare('INSERT INTO bt_chatbot_nodes (id, type, content, metadata, is_active, created_by) VALUES (?, ?, ?, ?, ?, ?)');","INSERT\s+INTO\s+\w+\s*\([^)]*id[^)]*\)"
"chatbot_options.php","C:\laragon\www\bubble_of_talents_1.0\backend\_backups\api_backup2","32","$stmt = $db->prepare('INSERT INTO bt_chatbot_options (id, node_id, text, next_node_id, action_type, action_data, order_position, is_active) VALUES (?, ?, ?, ?, ?, ?, ?, ?)');","INSERT\s+INTO\s+\w+\s*\([^)]*id[^)]*\)"
"extract_skills.php","C:\laragon\www\bubble_of_talents_1.0\backend\_backups\api_backup2","48","'text_length' => strlen($cvText)","strlen\s*\(\s*\$\w+\s*\)"
"health-ocr.php","C:\laragon\www\bubble_of_talents_1.0\backend\_backups\api_backup2","24","$isWin = strtoupper(substr(PHP_OS, 0, 3)) === 'WIN';","substr\s*\("
"jobs.php","C:\laragon\www\bubble_of_talents_1.0\backend\_backups\api_backup2","297","if (strlen($title) < 5 || strlen($title) > 100) {","strlen\s*\(\s*\$\w+\s*\)"
"jobs.php","C:\laragon\www\bubble_of_talents_1.0\backend\_backups\api_backup2","297","if (strlen($title) < 5 || strlen($title) > 100) {","if\s*\(\s*strlen"
"save-notification-preferences.php","C:\laragon\www\bubble_of_talents_1.0\backend\_backups\api_backup2","59","$preferenceId = 'pref-' . substr(uniqid(), -8);","substr\s*\("
"save-notification-preferences.php","C:\laragon\www\bubble_of_talents_1.0\backend\_backups\api_backup2","61","INSERT INTO bt_notification_preferences (id, candidate_id, application_updates, new_jobs, reminders)","INSERT\s+INTO\s+\w+\s*\([^)]*id[^)]*\)"
"autoload.php","C:\laragon\www\bubble_of_talents_1.0\backend","109","$relativeClass = substr($className, strlen($namespace));","strlen\s*\(\s*\$\w+\s*\)"
"autoload.php","C:\laragon\www\bubble_of_talents_1.0\backend","109","$relativeClass = substr($className, strlen($namespace));","substr\s*\("
"create_test_applications.php","C:\laragon\www\bubble_of_talents_1.0\backend","49","INSERT INTO bt_applications (candidate_id, job_id, status, score, created_at)","INSERT\s+INTO\s+\w+\s*\([^)]*id[^)]*\)"
